sampleNr,Brightness,Kelvin,dUV
1.0,10100.0,3382.0,0.0035
2.0,68.0,3382.0,0.0033
3.0,68.0,3385.0,0.003
4.0,68.5,3404.0,0.0034
5.0,68.0,3387.0,0.0032
6.0,69.4,3197.0,0.0005
7.0,72.7,2940.0,-0.0029
8.0,72.2,2961.0,-0.0031
9.0,85.0,3399.0,0.0033
10.0,85.5,3393.0,0.0035
11.0,85.6,3408.0,0.0031
12.0,89.5,3033.0,-0.0021
13.0,89.6,3033.0,-0.0022
14.0,89.0,3019.0,-0.0023
15.0,98.4,3285.0,0.0017
16.0,103.0,3417.0,0.0033
17.0,103.0,3406.0,0.0033
18.0,103.0,3423.0,0.0035
19.0,103.0,3417.0,0.0032
20.0,103.0,3412.0,0.0032
21.0,103.0,3178.0,-0.0003
22.0,112.0,3196.0,0.0003
23.0,122.0,3417.0,0.0035
24.0,122.0,3430.0,0.0032
25.0,121.0,3425.0,0.0033
26.0,121.0,3136.0,-0.0008
27.0,126.0,3141.0,-0.0008
28.0,125.0,3124.0,-0.0003
29.0,126.0,3144.0,0.0034
30.0,140.0,3433.0,0.0033
31.0,140.0,3427.0,0.0034
32.0,139.0,3412.0,0.004
33.0,139.0,3432.0,0.0033
34.0,140.0,3422.0,0.0034
35.0,140.0,3430.0,0.0034
36.0,140.0,3424.0,0.0035
37.0,157.0,3413.0,0.0039
38.0,158.0,3416.0,0.0038
39.0,161.0,3224.0,0.0009
40.0,162.0,3185.0,0.0004
41.0,168.0,3246.0,0.0
42.0,174.0,3372.0,0.0027
43.0,176.0,3420.0,0.0038
44.0,179.0,3285.0,0.0018
45.0,184.0,324.0,0.0003
46.0,189.0,3094.0,-0.0023
47.0,198.0,3233.0,0.0009
48.0,199.0,3229.0,0.001
49.0,211.0,3129.0,-0.002
50.0,210.0,3116.0,-0.0019
51.0,211.0,3125.0,-0.002
52.0,218.0,3256.0,0.001
53.0,218.0,3246.0,0.0013
54.0,229.0,3145.0,-0.0014
55.0,229.0,3143.0,-0.0016
56.0,234.0,3010.0,-0.0037
57.0,241.0,3055.0,-0.0039
58.0,248.0,3169.0,-0.0013
59.0,248.0,3166.0,-0.0012
60.0,248.0,3168.0,-0.0012
61.0,258.0,3148.0,-0.0026
62.0,257.0,3144.0,-0.0025
63.0,265.0,3257.0,0.0
64.0,269.0,3123.0,-0.0019
65.0,269.0,3141.0,-0.002
66.0,273.0,3144.0,-0.002
67.0,273.0,3145.0,-0.002
68.0,279.0,3237.0,0.0005
69.0,291.0,3169.0,-0.0016
70.0,291.0,3157.0,-0.0016
71.0,294.0,3082.0,-0.0028
72.0,296.0,3045.0,-0.0032
73.0,301.0,3177.0,-0.0015
74.0,310.0,3172.0,-0.0013
75.0,326.0,3162.0,-0.0004
76.0,330.0,3060.0,-0.002
77.0,341.0,3139.0,-0.0013
78.0,343.0,3044.0,-0.0027
79.0,346.0,3060.0,-0.0023
80.0,365.0,3066.0,-0.0025
81.0,365.0,3166.0,-0.0008
82.0,383.0,3077.0,-0.0021
83.0,401.0,3094.0,-0.002
84.0,402.0,3098.0,-0.0019
85.0,401.0,3104.0,-0.0017
86.0,420.0,3034.0,-0.0027
87.0,434.0,3122.0,-0.0015
88.0,439.0,3120.0,-0.0015
89.0,442.0,3122.0,-0.0013
90.0,457.0,3061.0,-0.0023
91.0,479.0,3073.0,-0.002
92.0,494.0,3154.0,-0.001
93.0,498.0,3084.0,-0.0019
94.0,517.0,3097.0,-0.0018
95.0,517.0,3096.0,-0.0019
96.0,531.0,3171.0,-0.0007
97.0,535.0,3108.0,-0.0015
98.0,547.0,3112.0,-0.0015
99.0,553.0,3115.0,-0.0015
100.0,556.0,3118.0,-0.0014
101.0,571.0,3122.0,-0.0012
102.0,576.0,3069.0,-0.0022
103.0,589.0,3133.0,-0.0012
104.0,589.0,3144.0,-0.001
105.0,608.0,3142.0,-0.0011
106.0,612.0,3085.0,-0.0004
107.0,626.0,3098.0,-0.0011
108.0,634.0,3096.0,-0.0016
109.0,643.0,3084.0,-0.0007
110.0,675.0,3150.0,-0.0001
111.0,693.0,3158.0,0.0001
112.0,694.0,3161.0,0.0
113.0,716.0,3115.0,0.0003
114.0,752.0,3129.0,-0.0004
115.0,769.0,3133.0,-0.0003
116.0,772.0,3139.0,-0.0003
117.0,785.0,3165.0,0.0002
118.0,821.0,3177.0,0.0002
119.0,839.0,3180.0,0.0003
120.0,844.0,3178.0,0.0003
121.0,854.0,3177.0,-0.0001
122.0,876.0,3143.0,0.0
123.0,894.0,3151.0,0.0
124.0,920.0,3149.0,-0.0001
125.0,926.0,3150.0,-0.0002
126.0,944.0,3152.0,-0.0002
127.0,961.0,3196.0,0.0005
128.0,1010.0,3174.0,0.0001
129.0,1010.0,3172.0,0.0
130.0,1030.0,3173.0,0.0003
131.0,1060.0,3193.0,0.0004
132.0,1060.0,3196.0,0.0005
133.0,1080.0,3201.0,0.0005
134.0,1100.0,3176.0,0.0002
135.0,1120.0,3175.0,0.0001
136.0,1140.0,3175.0,0.0002
137.0,1150.0,3179.0,0.0003
138.0,1190.0,3184.0,0.0004
139.0,1190.0,3175.0,0.0001
140.0,1210.0,3179.0,0.0002
141.0,1220.0,3178.0,0.0002
142.0,1250.0,3171.0,0.0006
143.0,1280.0,3163.0,0.0007
144.0,1270.0,3163.0,0.0006
145.0,1320.0,3216.0,0.0
146.0,1320.0,3202.0,0.0003
147.0,1380.0,3213.0,0.0004
148.0,1420.0,3202.0,-0.0001
149.0,1450.0,3201.0,0.0002
150.0,1450.0,3187.0,0.0002
151.0,1490.0,3174.0,0.0
152.0,1530.0,,-0.0002
153.0,1600.0,3171.0,-0.0004
154.0,1600.0,3170.0,-0.0001
155.0,1630.0,3178.0,-0.0001
156.0,1670.0,3186.0,-0.0003
157.0,1710.0,3194.0,-0.0003
158.0,1770.0,3168.0,-0.0003
159.0,1780.0,3183.0,-0.0002
160.0,1850.0,3195.0,-0.0002
161.0,1840.0,3189.0,-0.0001
162.0,1880.0,3173.0,-0.0001
163.0,1920.0,3187.0,-0.0003
164.0,2000.0,3176.0,-0.0005
165.0,1990.0,3165.0,-0.0003
166.0,2020.0,3172.0,-0.0003
167.0,2080.0,3179.0,-0.0003
168.0,2090.0,3184.0,-0.0004
169.0,2120.0,3171.0,-0.0005
170.0,2190.0,3167.0,-0.0003
171.0,2200.0,3160.0,-0.0005
172.0,2230.0,3171.0,-0.0006
173.0,2260.0,3176.0,-0.0005
174.0,2290.0,3172.0,-0.0005
175.0,2330.0,3174.0,-0.0006
176.0,2360.0,3175.0,-0.0005
177.0,2420.0,3177.0,-0.0003
178.0,2420.0,3179.0,-0.0003
179.0,2490.0,3181.0,-0.0004
180.0,2480.0,3171.0,-0.0003
181.0,2560.0,3189.0,-0.0012
182.0,2570.0,3193.0,-0.0011
183.0,2630.0,3178.0,-0.0011
184.0,2730.0,3180.0,-0.001
185.0,2750.0,3187.0,-0.001
