sampleNr,Brightness,Kelvin,dUV,mixedR,mixedG,mixedB,mixedW,redActual,lampTemp,lampTempTarget,fanSpeed
1.0,68.8,3332.0,0.0031,8.0,3.0,0.0,5.0,5.0,30.25,65.0,0.0
2.0,68.7,3331.0,0.0028,8.0,3.0,0.0,5.0,5.0,30.375,65.0,0.0
3.0,68.8,3333.0,0.003,8.0,3.0,0.0,5.0,5.0,30.25,65.0,0.0
4.0,68.6,3325.0,0.0031,8.0,3.0,0.0,5.0,5.0,30.25,65.0,0.0
5.0,68.9,3337.0,0.0031,8.0,3.0,0.0,5.0,5.0,30.125,65.0,0.0
6.0,69.0,3336.0,0.0031,9.0,3.0,0.0,5.0,5.0,30.125,65.0,0.0
7.0,69.2,3346.0,0.0029,9.0,3.0,0.0,5.0,5.0,30.0,65.0,0.0
8.0,82.2,3799.0,0.0099,9.0,4.0,0.0,6.0,5.0,30.0,65.0,0.0
9.0,81.9,3781.0,0.0102,9.0,4.0,0.0,6.0,5.0,30.0,65.0,0.0
10.0,82.4,3801.0,0.0099,9.0,4.0,0.0,6.0,5.0,29.75,65.0,0.0
11.0,85.9,3362.0,0.0028,10.0,4.0,0.0,6.0,5.0,29.75,65.0,0.0
12.0,86.3,3353.0,0.0031,10.0,4.0,0.0,6.0,6.0,29.75,65.0,0.0
13.0,86.4,3350.0,0.003,10.0,4.0,0.0,6.0,6.0,29.75,65.0,0.0
14.0,86.0,3344.0,0.0029,10.0,4.0,0.0,6.0,6.0,29.625,65.0,0.0
15.0,99.7,3733.0,0.0091,10.0,5.0,0.0,7.0,6.0,29.5,65.0,0.0
16.0,104.0,3354.0,0.003,11.0,5.0,0.0,7.0,6.0,29.5,65.0,0.0
17.0,104.0,3352.0,0.003,11.0,5.0,0.0,7.0,7.0,29.5,65.0,0.0
18.0,104.0,3359.0,0.0029,11.0,5.0,0.0,7.0,7.0,29.375,65.0,0.0
19.0,104.0,3354.0,0.003,11.0,5.0,0.0,7.0,7.0,29.375,65.0,0.0
20.0,104.0,3361.0,0.0029,11.0,5.0,0.0,7.0,7.0,29.375,65.0,0.0
21.0,104.0,3356.0,0.003,12.0,5.0,0.0,7.0,7.0,29.25,65.0,0.0
22.0,118.0,3691.0,0.0079,12.0,6.0,0.0,8.0,7.0,29.25,65.0,0.0
23.0,118.0,3682.0,0.0079,12.0,6.0,0.0,8.0,7.0,29.125,65.0,0.0
24.0,118.0,3695.0,0.008,12.0,6.0,0.0,8.0,7.0,29.125,65.0,0.0
25.0,118.0,3690.0,0.008,12.0,6.0,0.0,8.0,7.0,29.0,65.0,0.0
26.0,122.0,3363.0,0.0029,13.0,6.0,0.0,8.0,7.0,29.0,65.0,0.0
27.0,122.0,3366.0,0.0029,13.0,6.0,0.0,8.0,8.0,29.0,65.0,0.0
28.0,122.0,3363.0,0.0029,13.0,6.0,0.0,8.0,8.0,29.0,65.0,0.0
29.0,136.0,3648.0,0.0073,13.0,7.0,0.0,9.0,8.0,29.0,65.0,0.0
30.0,136.0,3658.0,0.0074,13.0,7.0,0.0,9.0,8.0,29.0,65.0,0.0
31.0,140.0,3372.0,0.003,14.0,7.0,0.0,9.0,8.0,28.875,65.0,0.0
32.0,140.0,3374.0,0.003,14.0,7.0,0.0,9.0,9.0,28.75,65.0,0.0
33.0,140.0,3367.0,0.0029,14.0,7.0,0.0,9.0,9.0,28.75,65.0,0.0
34.0,141.0,3375.0,0.0029,14.0,7.0,0.0,9.0,9.0,28.75,65.0,0.0
35.0,139.0,3350.0,0.0034,14.0,7.0,0.0,9.0,9.0,28.625,65.0,0.0
36.0,154.0,3608.0,0.0073,15.0,8.0,0.0,10.0,9.0,28.625,65.0,0.0
37.0,153.0,3606.0,0.0073,15.0,8.0,0.0,10.0,9.0,28.625,65.0,0.0
38.0,154.0,3612.0,0.0073,15.0,8.0,0.0,10.0,9.0,28.5,65.0,0.0
39.0,158.0,3353.0,0.0032,16.0,8.0,0.0,10.0,9.0,28.5,65.0,0.0
40.0,158.0,3354.0,0.0034,16.0,8.0,0.0,10.0,10.0,28.5,65.0,0.0
41.0,169.0,3204.0,-0.0005,17.0,8.0,0.0,11.0,10.0,28.5,65.0,0.0
42.0,176.0,3359.0,0.0034,17.0,9.0,0.0,11.0,11.0,28.375,65.0,0.0
43.0,177.0,3364.0,0.0031,17.0,9.0,0.0,11.0,11.0,28.375,65.0,0.0
44.0,177.0,3361.0,0.0034,18.0,9.0,0.0,11.0,11.0,28.25,65.0,0.0
45.0,184.0,3421.0,0.0029,18.0,9.0,0.0,12.0,11.0,28.375,65.0,0.0
46.0,188.0,3219.0,-0.0002,19.0,9.0,0.0,12.0,11.0,28.25,65.0,0.0
47.0,195.0,3362.0,0.0032,19.0,10.0,0.0,12.0,12.0,28.25,65.0,0.0
48.0,195.0,3356.0,0.0033,19.0,10.0,0.0,12.0,12.0,28.125,65.0,0.0
49.0,206.0,3227.0,0.0,20.0,10.0,0.0,13.0,12.0,28.25,65.0,0.0
50.0,207.0,3232.0,0.0001,20.0,10.0,0.0,13.0,13.0,28.125,65.0,0.0
51.0,207.0,3232.0,0.0,21.0,10.0,0.0,13.0,13.0,28.125,65.0,0.0
52.0,213.0,3360.0,0.0031,21.0,11.0,0.0,13.0,13.0,28.125,65.0,0.0
53.0,221.0,3414.0,0.0028,21.0,11.0,0.0,14.0,13.0,28.125,65.0,0.0
54.0,225.0,3246.0,0.0002,22.0,11.0,0.0,14.0,13.0,28.125,65.0,0.0
55.0,225.0,3244.0,0.0002,22.0,11.0,0.0,14.0,14.0,28.0,65.0,0.0
56.0,230.0,3088.0,-0.002,23.0,11.0,0.0,14.0,14.0,28.0,65.0,0.0
57.0,237.0,3140.0,-0.0024,23.0,11.0,0.0,15.0,15.0,28.0,65.0,0.0
58.0,244.0,3251.0,0.0005,23.0,12.0,0.0,15.0,15.0,28.0,65.0,0.0
59.0,244.0,3250.0,0.0005,24.0,12.0,0.0,15.0,15.0,27.875,65.0,0.0
60.0,243.0,3247.0,0.0005,24.0,12.0,0.0,15.0,15.0,27.875,65.0,0.0
61.0,255.0,3158.0,-0.002,25.0,12.0,0.0,16.0,15.0,27.875,65.0,0.0
62.0,255.0,3153.0,-0.0018,25.0,12.0,0.0,16.0,16.0,27.875,65.0,0.0
63.0,263.0,3263.0,0.0006,25.0,13.0,0.0,16.0,16.0,27.875,65.0,0.0
64.0,263.0,3264.0,0.0006,26.0,13.0,0.0,16.0,16.0,27.875,65.0,0.0
65.0,266.0,3287.0,0.0003,26.0,13.0,0.0,17.0,16.0,27.75,65.0,0.0
66.0,268.0,3217.0,-0.0006,27.0,13.0,0.0,17.0,16.0,27.75,65.0,0.0
67.0,269.0,3217.0,-0.0006,27.0,13.0,0.0,17.0,17.0,27.75,65.0,0.0
68.0,276.0,3316.0,0.0019,27.0,14.0,0.0,17.0,17.0,27.75,65.0,0.0
69.0,286.0,3220.0,-0.0002,28.0,14.0,0.0,18.0,17.0,27.75,65.0,0.0
70.0,287.0,3224.0,-0.0003,28.0,14.0,0.0,18.0,18.0,27.625,65.0,0.0
71.0,287.0,3221.0,-0.0003,29.0,14.0,0.0,18.0,18.0,27.75,65.0,0.0
72.0,287.0,3228.0,-0.0004,29.0,14.0,0.0,18.0,18.0,27.625,65.0,0.0
73.0,306.0,3237.0,-0.0004,30.0,15.0,0.0,19.0,18.0,27.625,65.0,0.0
74.0,305.0,3232.0,-0.0002,30.0,15.0,0.0,19.0,19.0,27.625,65.0,0.0
75.0,324.0,3243.0,0.0,31.0,16.0,0.0,20.0,19.0,27.625,65.0,0.0
